Inspection Date,Permittee Name,Permit ID,Full Address,Inspection Purpose,Violation,Is Critical,Short Description,Violation Comments,Violation Type,GeoLocation
04/29/2022,BAKER MIDDLE SCHOOL Kitchen,28187,"5903 GROOM RD 
BAKER, LA 70714",Routine/Renewal,true,false,PLUMBING/GREASE TRAP,3101 - Plumbing is not maintained. Hand sink leak,,POINT (-91.135034 30.583942)
04/28/2022,CITY PORK ON PERKINS-BAR,9933616,"18143 PERKINS ROAD EAST 
BATON ROUGE, LA",Routine/Renewal,,,,,,POINT (-91.025726 30.347298)
05/27/2022,ELSIE'S PLATE AND PIE-BAR,3770833,"3153 GOVERNMENT STREET 
BATON ROUGE, LA 70806",Routine/Renewal,,,,,,POINT (-91.155895 30.444139)
05/27/2022,SUBWAY #10124 KITCHEN,58114,"127 W STATE ST 
BATON ROUGE , LA 70802",Routine/Renewal,true,false,"PERMITS – VALID, POSTED",501.3 - A valid permit to operate is not posted in a conspicuous location.,,POINT (-91.177264 30.41812)
04/27/2022,STERN GROUP HOME KITCHEN,5305956,"15626 CONFEDERATE AVE 
BATON ROUGE, LA 70817",Routine/Renewal,,,,,,POINT (-91.010921 30.392535)
05/26/2022,JONNEY SUSHI (RESTAURANT),9017003,"6401 BLUEBONNET BLVD STE 1032 
BATON ROUGE, LA 70836",2nd Re-inspection,,,,,,POINT (-91.090328 30.39235)
05/26/2022,T & T SMOKEHOUSE MEATS Kitchen,10558419,"360 MAIN STREET 
BAKER, LA 70714",Opening,,,,,,POINT (-91.169916 30.578717)
04/22/2022,PLAYA BOWLS,8466850,"660 ARLINGTON CREEK CENTRE BLVD STE 4B 
BATON ROUGE, LA 70820",Routine/Renewal,,,,,,
04/22/2022,SHERWOOD POBOY RESTAURANT,80918,"2627 S SHERWOOD FOREST BLVD 
BATON ROUGE, LA 70816",Routine/Renewal,true,false,WALLS AND CEILINGS,3703.3 - Walls/ceilings or attached equipment are not clean.,Repeat,POINT (-91.055546 30.427636)
05/23/2022,B-QUIK #1 grocery,58680,"9611 AIRLINE HWY 
BATON ROUGE, LA 70815",Routine/Renewal,,,,,,POINT (-91.082009 30.433595)
04/21/2022,AB Horn Community Home kitchen,9933348,"1306 MAIN ST 
BATON ROUGE, LA 70802",Routine/Renewal,true,false,"HAND WASH SUPPLIES – CLEAN, ACCESSIBLE",3109.5 - Soap and/or paper towels are not provided for use at the hand wash lavatory.,COS,POINT (-91.175852 30.451779)
05/19/2022,MR GATTI'S 164 RESTAURANT,3384,"5888 ESSEN LN 
BATON ROUGE, LA 70810",Preliminary,,,,,,POINT (-91.10919 30.395742)
04/19/2022,MI CUEVITA PLUS #2 MEAT MARKET,160910,"14890 OLD HAMMOND HWY 
BATON ROUGE , LA 70816",Routine/Renewal,,,,,,POINT (-91.02077 30.453673)
04/19/2022,SOUTHERN FLAVOR (MOBILE),9016048,"12114 OLD HAMMOND HWY 
BATON ROUGE, LA 70816",Routine/Renewal,,,,,,POINT (-91.044909 30.44056)
05/24/2021,DIXIE LANDIN - BLUE BAYOU LEMONADE 2-WAVEPOOL,143164,"18142 PERKINS RD 
BATON ROUGE, LA 70810",Opening,,,,,,
11/24/2021,INGA'S SUBS AND SALADS DELI,149455,"1750 BRIGHTSIDE  LN STE A 
BATON ROUGE, LA 70820",Routine/Renewal,true,false,"HAND WASH SUPPLIES â€“ CLEAN, ACCESSIBLE",3109.1 - Hand wash lavatory is not accessible.,Repeat,POINT (-91.178387 30.387855)
07/20/2021,SPECTRUM FITNESS CLUB INC KITCHEN,3713,"7069 PERKINS RD 
BATON ROUGE, LA 70808",Routine/Renewal,true,false,SANITIZER TEST KIT,"2513 - A sanitizer test kit is not provided to accurately measure the concentration in mg/L or parts per million of sanitizing solution
provided. 
For bleach use a chlorine test strip to measure between 50 and 100ppm.",,POINT (-91.115868 30.399137)
06/15/2021,EL CHARRITO EXPRESS TAQUERIA,10058146,"175 SHARP RD 
BATON ROUGE, LA 70815",Opening,,,,,,POINT (-91.072097 30.455599)
09/22/2021,SPROUTS FARMERS MARKET-DELI/KITCHEN,8329312,"4841 ROUZAN SQUARE AVE 
BATON ROUGE, LA 70808",Routine/Renewal,,,,,,
12/27/2021,TIM'S POBOY'S II Restaurant,50848,"2333 MONTERREY BLVD 
BATON ROUGE, LA 70815",Routine/Renewal,true,false,WALLS AND CEILINGS,3703.4 - Walls/ceilings or attached equipment are not in good repair.,Repeat,POINT (-91.084795 30.471007)
03/16/2022,UNCLE MO FOOD MART AND DELI DELI,155667,"5557 PLANK RD 
BATON ROUGE , LA 70805",Routine/Renewal,true,false,FLOORS,3701.5 - Floors are not clean.,Repeat,POINT (-91.15297 30.500049)
09/24/2021,RUFFINO'S ITALIAN RESTAURANT RESTAURANT,3470,"18811 HIGHLAND RD 
BATON ROUGE, LA 70809",Routine/Renewal,true,false,PERSONAL CARE ITEMS,"3903 - Employeesâ€™ personal care items are stored where food equipment, utensils, linens, single service items or single use items may be contaminated.-CELL PHONES; KEYS; FOOD ITEMS",COS,POINT (-91.02158 30.352511)
03/24/2021,CIRCLE K STORE #2706797 - SUBWAY,2662221,"15940 TIGER BEND RD 
BATON ROUGE, LA 70817",2nd Re-inspection,true,true,FOOD SAFETY CERTIFICATION,305 - A current state food safety certificate is not held by the owner or a designated employee of the establishment.,Repeat,POINT (-91.007903 30.389637)
10/20/2021,ROUGE DAIQUIRIS-kitchen,9438204,"3827 PLANK RD 
BATON ROUGE, LA 70805",Follow-up,true,false,"PERMITS â€“ VALID, POSTED",501.2 - The permit is not valid due to nonpayment of fees/penalties. Owe $300.00,COS,POINT (-91.158691 30.483749)
07/26/2021,CHRIS'S SPECIALTY FOODS,4325288,"3075 MILLERVILLE RD STE A 
BATON ROUGE, LA 70816",Follow-up,true,false,"PERMITS â€“ VALID, POSTED",501.2 - The permit is not valid due to nonpayment of fees/penalties.,Repeat,POINT (-91.024438 30.432113)
11/15/2021,COWBOY CHICKEN,2414724,"6555 SIEGEN LN STE 8 
BATON ROUGE, LA 70809",Routine/Renewal,true,true,FOOD â€“ COLD HOLDING,"1309 - Food stored for cold-holding and service was not held at a temperature of 41 Â°F or below.
Bottom cooler - 50F",COS,POINT (-91.061148 30.390318)
05/07/2021,Capital Park Bar & Grill kitchen,9193002,"7132 FLORIDA BLVD 
BATON ROUGE , LA 70806",Routine/Renewal,true,true,CROSS CONTAMINATION â€“ FOOD TO FOOD,"1705 - Raw animal food is not separated from ready to eat food, or is placed, stored or displayed above ready to eat food.",COS,POINT (-91.115776 30.45153)
12/21/2021,MCDONALD'S Restaurant,87156,"2278 O'NEAL LN 
BATON ROUGE, LA 70816",Routine/Renewal,true,false,"EQUIPMENT CONSTRUCTION, GOOD REPAIR",2101.1 - Non-food contact equipment is not maintained in good repair.excessive ice build-up in walk-in freezer,,POINT (-91.007553 30.436147)
08/19/2021,MARY LEE DONUTS donut shop,63439,"13847 COURSEY BOULEVARD BLDG A SUITE 1 
BATON ROUGE, LA 70816",Follow-up,true,false,OPENINGS,3505.1 - Openings are not protected against the entry of rodents or insects.-FRONT EXITING DOOR,Repeat,POINT (-91.023357 30.408258)
09/09/2021,MARY LEE DONUTS Donut Shop,90916,"4592 S SHERWOOD FOREST BLVD 
BATON ROUGE, LA 70816",Routine/Renewal,true,false,"PERMITS â€“ VALID, POSTED","501.3 - A valid permit to operate is not posted in a conspicuous location.
Post the new permit 2021-2022",,POINT (-91.05162 30.411609)
03/30/2021,SUBWAY 33230 RESTAURANT,34005,"9618 JEFFERSON HIGHWAY SUITE A 
BATON ROUGE, LA 70809",Routine/Renewal,true,false,WALLS AND CEILINGS,3703.4 - Walls/ceilings or attached equipment are not in good repair. Ceiling tile above ice machine.,,POINT (-91.077434 30.410887)
