Inspection_Date,Permittee_Name,Permit_ID,Full_Address,Inspection_Purpose,Violation,Is_Critical,Short_Description,Violation_Comments,Violation Type,GeoLocation
2022-12-28,BAKER MIDDLE SCHOOL Kitchen,28187,"5903 GROOM RD 
BAKER, LA 70714",Routine/Renewal,true,false,PLUMBING/GREASE TRAP,3101 - Plumbing is not maintained. Hand sink leak,,POINT (-91.135034 30.583942)
2022-12-28,CITY PORK ON PERKINS-BAR,9933616,"18143 PERKINS ROAD EAST 
BATON ROUGE, LA",Routine/Renewal,,,,,,POINT (-91.025726 30.347298)
2022-12-28,ELSIE'S PLATE AND PIE-BAR,3770833,"3153 GOVERNMENT STREET 
BATON ROUGE, LA 70806",Routine/Renewal,,,,,,POINT (-91.155895 30.444139)
2022-12-28,SUBWAY #10124 KITCHEN,58114,"127 W STATE ST 
BATON ROUGE , LA 70802",Routine/Renewal,true,false,"PERMITS – VALID, POSTED",501.3 - A valid permit to operate is not posted in a conspicuous location.,,POINT (-91.177264 30.41812)
2022-12-29,STERN GROUP HOME KITCHEN,5305956,"15626 CONFEDERATE AVE 
BATON ROUGE, LA 70817",Routine/Renewal,,,,,,POINT (-91.010921 30.392535)
2022-12-30,JONNEY SUSHI (RESTAURANT),9017003,"6401 BLUEBONNET BLVD STE 1032 
BATON ROUGE, LA 70836",2nd Re-inspection,,,,,,POINT (-91.090328 30.39235)
2022-12-31,T & T SMOKEHOUSE MEATS Kitchen,10558419,"360 MAIN STREET 
BAKER, LA 70714",Opening,,,,,,POINT (-91.169916 30.578717)
2023-01-01,PLAYA BOWLS,8466850,"660 ARLINGTON CREEK CENTRE BLVD STE 4B 
BATON ROUGE, LA 70820",Routine/Renewal,,,,,,
2023-01-02,SHERWOOD POBOY RESTAURANT,80918,"2627 S SHERWOOD FOREST BLVD 
BATON ROUGE, LA 70816",Routine/Renewal,true,false,WALLS AND CEILINGS,3703.3 - Walls/ceilings or attached equipment are not clean.,Repeat,POINT (-91.055546 30.427636)
2023-01-03,B-QUIK #1 grocery,58680,"9611 AIRLINE HWY 
BATON ROUGE, LA 70815",Routine/Renewal,,,,,,POINT (-91.082009 30.433595)
2023-01-04,AB Horn Community Home kitchen,9933348,"1306 MAIN ST 
BATON ROUGE, LA 70802",Routine/Renewal,true,false,"HAND WASH SUPPLIES – CLEAN, ACCESSIBLE",3109.5 - Soap and/or paper towels are not provided for use at the hand wash lavatory.,COS,POINT (-91.175852 30.451779)
2023-01-05,MR GATTI'S 164 RESTAURANT,3384,"5888 ESSEN LN 
BATON ROUGE, LA 70810",Preliminary,,,,,,POINT (-91.10919 30.395742)
